Tissue	n_expressed_genes	mean_gene_length_bp	variance_gene_length_bp2	sd_gene_length_bp	cutoff	cv_gene_length	log10_mean_gene_length_bp	log10_variance_gene_length_bp2
hypothalamus	13763	79232.9971663155	20980179729.7789	144845.364888832	1	1.82809397686663	4.89890608440283	10.3218092043207
kidney	13698	70721.1664476566	14808654488.1645	121690.815134769	1	1.72071278299456	4.84954941514986	10.1705156003908
liver	12744	65928.3043000628	12554736973.324	112047.922664028	1	1.69954200784626	4.8190719056755	10.0988076185041
lung	13567	70055.7474017837	14315427679.6896	119647.096411445	1	1.7078840901553	4.84544377077794	10.1558043272898
midbrain	13520	77754.7481508876	19940828486.4379	141211.998379875	1	1.81612058090453	4.89072691902063	10.2997431980887
ovary	12685	71435.38793851	15224706323.2709	123388.436748631	1	1.72727327882423	4.85391340756144	10.1825489240692
pancreas	13009	68435.6439388116	12995661783.9738	113998.516586725	1	1.66577692596348	4.8352823580645	10.1137984001749
pituitary gland	13707	75262.1912891223	18019459688.2779	134236.581036161	1	1.78358587143027	4.87657685882732	10.2557417645611
prostate	13525	71355.3183733826	15212421358.4857	123338.645032633	1	1.72851369518437	4.85342634821638	10.1821983461328
retina	12947	83008.5645323241	22072792064.8209	148569.14910176	1	1.78980506335471	4.9191229036681	10.3438572720674
salivary gland	13537	68560.5808524784	13312608288.7163	115380.276861846	1	1.68289526470188	4.83607448831942	10.1242631534777
skeletal muscle	12149	69288.2801876698	13246344706.7019	115092.765657542	1	1.66107118470554	4.84065978179416	10.1220960524073
skin	13481	67792.089310882	12958781337.2478	113836.643209679	1	1.67920246103709	4.83117901880699	10.1125641617665
small intestine	13714	68898.5752515677	13747893732.7579	117251.412497922	1	1.70179734587841	4.8382102412577	10.1382361665074
spinal cord	13407	76301.5092116059	19134402162.535	138327.156272856	1	1.81290196880949	4.88253312820115	10.2818148976257
spleen	12950	66465.5654826255	11754123605.8733	108416.436050413	1	1.63116698493679	4.82259670403861	10.070190253425
stomach	13424	69654.8601013111	13921928892.6228	117991.223794919	1	1.69394100603037	4.84295142429972	10.1436994112363
testis	14655	70846.7866939611	16549050331.9402	128643.112260005	1	1.81579318220469	4.85032015729726	10.2187730768168
thyroid gland	13181	71281.3316895531	14305184669.958	119604.283660569	1	1.67791875973185	4.85297580466549	10.1554934686164
urinary bladder	13169	71502.4300250589	14748931527.1505	121445.179102138	1	1.69847624842368	4.85432080164081	10.1687605593874
vagina	13459	70393.6717438145	14660309986.4564	121079.767039982	1	1.72003766873578	4.84753361865529	10.1661431533872
adipose tissue	9710	65439.3122554068	11407245629.4378	106804.70789922	5	1.6321184348999	4.81583872640209	10.0571807932051
adrenal gland	9133	62338.5394722435	10861276059.7441	104217.446043089	5	1.67179800690537	4.79475662298773	10.0358808522463
amygdala	9290	70982.1077502691	17882190612.6135	133724.308233819	5	1.88391571442611	4.85114889118966	10.2524207198679
basal ganglia	9811	72354.9234532667	18039320967.3096	134310.539300941	5	1.85627366999691	4.85946808840371	10.2562201858833
blood vessel	9878	69385.5503138287	13921634104.6209	117989.974593695	5	1.70049778462562	4.84126903713557	10.1436902152291
breast	9505	63917.5721199369	10489126688.9614	102416.437591635	5	1.6023205230552	4.8056202701398	10.0207393309053
cerebellum	9461	69075.2177359687	15742352755.4492	125468.532929373	5	1.81640445070996	4.83932226255533	10.1970696398623
cerebral cortex	9742	75292.9035105728	20087637803.1965	141730.863975341	5	1.88239339123691	4.87675404510595	10.302928869085
cervix	10086	64455.0554233591	11272908146.8549	106173.952299304	5	1.64725562024458	4.80925698617917	10.0520359683271
colon	10252	65239.8829496684	11918224318.8165	109170.620218154	5	1.67337241089745	4.81451317317819	10.0762115552377
endometrium	9236	64510.8898873971	10498479338.639	102462.087323258	5	1.58829133348035	4.80963303275625	10.0211263978638
esophagus	9440	58886.6762711864	7925062744.19289	89022.8214796234	5	1.51176509045362	4.77001704221542	9.89900270929343
