original_hk_gene_id	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000005373	candidate_not_in_local_release115_gtf	ENSPTRG00000005373	1		64	ENSPTRG00000005373.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005376	candidate_not_in_local_release115_gtf	ENSPTRG00000005376	1		64	ENSPTRG00000005376.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005424	candidate_not_in_local_release115_gtf	ENSPTRG00000005424	1		64	ENSPTRG00000005424.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005474	ambiguous_multiple_protein_coding	ENSPTRG00000047767;ENSPTRG00000051592	2		90	ENSPTRG00000005474.5		success	Multiple local protein-coding candidates; not rescued automatically
ENSPTRG00000005475	candidate_not_in_local_release115_gtf	ENSPTRG00000005475	1		64	ENSPTRG00000005475.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005598	candidate_not_in_local_release115_gtf	ENSPTRG00000005598	1		90	ENSPTRG00000005598.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005600	candidate_not_in_local_release115_gtf	ENSPTRG00000005600	1		64	ENSPTRG00000005600.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005619	candidate_not_in_local_release115_gtf	ENSPTRG00000005619	1		64	ENSPTRG00000005619.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005648	candidate_not_in_local_release115_gtf	ENSPTRG00000005648	1		64	ENSPTRG00000005648.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005694	candidate_not_in_local_release115_gtf	ENSPTRG00000005694	1		90	ENSPTRG00000005694.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005755	candidate_not_in_local_release115_gtf	ENSPTRG00000005755	1		64	ENSPTRG00000005755.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005796	candidate_not_in_local_release115_gtf	ENSPTRG00000005796	1		64	ENSPTRG00000005796.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005803	candidate_not_in_local_release115_gtf	ENSPTRG00000005803	1		90	ENSPTRG00000005803.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005810	candidate_not_in_local_release115_gtf	ENSPTRG00000005810	1		90	ENSPTRG00000005810.6		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005831	candidate_not_in_local_release115_gtf	ENSPTRG00000005831	1		90	ENSPTRG00000005831.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006026	candidate_not_in_local_release115_gtf	ENSPTRG00000006026	1		90	ENSPTRG00000006026.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006035	candidate_not_in_local_release115_gtf	ENSPTRG00000006035	1		64	ENSPTRG00000006035.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006066	candidate_not_in_local_release115_gtf	ENSPTRG00000006066	1		90	ENSPTRG00000006066.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006168	candidate_not_in_local_release115_gtf	ENSPTRG00000006168	1		90	ENSPTRG00000006168.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006205	candidate_not_in_local_release115_gtf	ENSPTRG00000006205	1		64	ENSPTRG00000006205.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006206	candidate_not_in_local_release115_gtf	ENSPTRG00000006206	1		64	ENSPTRG00000006206.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006324	candidate_not_in_local_release115_gtf	ENSPTRG00000006324	1		90	ENSPTRG00000006324.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006369	candidate_not_in_local_release115_gtf	ENSPTRG00000006369	1		90	ENSPTRG00000006369.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006444	candidate_not_in_local_release115_gtf	ENSPTRG00000006444	1		64	ENSPTRG00000006444.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006494	candidate_not_in_local_release115_gtf	ENSPTRG00000006494	1		90	ENSPTRG00000006494.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006552	candidate_not_in_local_release115_gtf	ENSPTRG00000006552	1		90	ENSPTRG00000006552.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006759	candidate_not_in_local_release115_gtf	ENSPTRG00000006759	1		64	ENSPTRG00000006759.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006788	candidate_not_in_local_release115_gtf	ENSPTRG00000006788	1		64	ENSPTRG00000006788.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006819	candidate_not_in_local_release115_gtf	ENSPTRG00000006819	1		64	ENSPTRG00000006819.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000006844	candidate_not_in_local_release115_gtf	ENSPTRG00000006844	1		64	ENSPTRG00000006844.4		success	Archive candidate was not found in the local Ensembl 115 GTF
